date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:09:55	500/500	---MCZ	200	added ('OK')	text/plain	etag:cacheable:d46cb3f54b48c952186c0fb3ae6d5bc2	https://www.houseplant.com/robots.txt		(from )
05:09:55	231143/231143	---MCZ	200	added ('OK')	text/html	etag:cacheable:c49303640f04890eee0dd991c34f33fd	https://www.houseplant.com/	C:/Users/Matthew%20Herren/Documents/house/www.houseplant.com/index.html	(from )
05:09:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2007%20Jan%202023%2004:09:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Matthew%20Herren/Documents/house/www.googletagmanager.com/gtm.05445.delayed	(from https://www.houseplant.com/)
05:09:56	117702/117702	---MC-	200	added ('OK')	application/javascript	date:Sat,%2007%20Jan%202023%2004:09:55%20GMT	https://www.googleoptimize.com/optimize.js?id=OPT-PD2PH9F	C:/Users/Matthew%20Herren/Documents/house/www.googleoptimize.com/optimize4677.js	(from https://www.houseplant.com/)
05:09:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Jan%202023%2004:09:56%20GMT	http://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/apple-touch-icon.png?v=48439955075744305481647898713	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/apple-touch-icon.2a695.delayed	(from https://www.houseplant.com/)
05:09:58	4302/4302	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Aug%202022%2023:33:02%20GMT	https://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/apple-touch-icon.png?v=48439955075744305481647898713	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/apple-touch-icona695.png	(from https://www.houseplant.com/)
05:09:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Jan%202023%2004:09:57%20GMT	http://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-32x32.png?v=127710854089873107871654120364	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-32x32b302.png	(from https://www.houseplant.com/)
05:09:58	846/846	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Aug%202022%2003:37:44%20GMT	https://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-32x32.png?v=127710854089873107871654120364	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-32x32b302.png	(from https://www.houseplant.com/)
05:09:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Jan%202023%2004:09:57%20GMT	http://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-16x16.png?v=26449343312225764961654120357	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-16x167794.png	(from https://www.houseplant.com/)
05:09:58	531/531	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Aug%202022%2004:30:14%20GMT	https://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-16x16.png?v=26449343312225764961654120357	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/favicon-16x167794.png	(from https://www.houseplant.com/)
05:09:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Jan%202023%2004:09:58%20GMT	http://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/site.webmanifest?v=91292706513680104781647898728	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/site496a.webmanifest	(from https://www.houseplant.com/)
05:09:59	446/446	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2026%20Aug%202022%2002:42:32%20GMT	https://cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/site.webmanifest?v=91292706513680104781647898728	C:/Users/Matthew%20Herren/Documents/house/cdn.shopify.com/s/files/1/0588/0070/1647/t/32/assets/site496a.webmanifest	(from https://www.houseplant.com/)
